Date,Genesis,Matthew,Psalms,Proverbs
15,1Sm 17:1-18:4,Jo 8:21-30,Sl 111:1-10,Pv 15:11
16,1Sm 18:5-19:24,Jo 8:31-59,Sl 112:1-10,Pv 15:12-14
17,1Sm 20:1-21:15,Jo 9:1-41,Sl 113:1-114:8,Pv 15:15-17
18,1Sm 22:1-23:29,Jo 10:1-21,Sl 115:1-18,Pv 15:18-19
19,1Sm 24:1-25:44,Jo 10:22-42,Sl 116:1-19,Pv 15:20-21
20,1Sm 26:1-28:25,Jo 11:1-54,Sl 117:1-2,Pv 15:22-23
21,1Sm 29:1-31:13,Jo 11:55-12:19,Sl 118:1-18,Pv 15:24-26
22,2Sm 1:1-2:11,Jo 12:20-50,Sl 118:19-29,Pv 15:27-28
23,2Sm 2:12-3:39,Jo 13:1-30,Sl 119:1-16,Pv 15:29-30
24,2Sm 4:1-6:23,Jo 13:31-14:14,Sl 119:17-32,Pv 15:31-32
25,2Sm 7:1-8:18,Jo 14:15-31,Sl 119:33-48,Pv 15:33
26,2Sm 9:1-11:27,Jo 15:1-27,Sl 119:49-64,Pv 16:1-3
27,2Sm 12:1-31,Jo 16:1-33,Sl 119:65-80,Pv 16:4-5
28,2Sm 13:1-39,Jo 17:1-26,Sl 119:81-96,Pv 16:6-7
29,2Sm 14:1-15:22,Jo 18:1-24,Sl 119:97-112,Pv 16:8-9
30,2Sm 15:23-16:23,Jo 18:25-19:22,Sl 119:113-128,Pv 16:10-11
31,2Sm 17:1-29,Jo 19:23-42,Sl 119:129-152,Pv 16:12-13
1,2Sm 18:1-19:10,Jo 20:1-31,Sl 119:153-176,Pv 16:14-15
2,2Sm 19:11-20:13,Jo 21:1-25,Sl 120:1-7,Pv 16:16-17
3,2Sm 20:14-21:22,At 1:1-26,Sl 121:1-8,Pv 16:18
4,2Sm 22:1-23:23,At 2:1-47,Sl 122:1-9,Pv 16:19-20
5,2Sm 23:24-24:25,At 3:1-26,Sl 123:1-4,Pv 16:21-23
6,1Rs 1:1-53,At 4:1-37,Sl 124:1-8,Pv 16:24
7,1Rs 2:1-3:2,At 5:1-42,Sl 125:1-5,Pv 16:25
8,1Rs 3:3-4:34,At 6:1-15,Sl 126:1-6,Pv 16:26-27
9,1Rs 5:1-6:38,At 7:1-29,Sl 127:1-5,Pv 16:28-30
10,1Rs 7:1-51,At 7:30-50,Sl 128:1-6,Pv 16:31-33
11,1Rs 8:1-66,At 7:51-8:13,Sl 129:1-8,Pv 17:1
12,1Rs 9:1-10:29,At 8:14-40,Sl 130:1-8,Pv 17:2-3
13,1Rs 11:1-12:19,At 9:1-25,Sl 131:1-3,Pv 17:4-5
14,1Rs 12:20-13:34,At 9:26-43,Sl 132:1-18,Pv 17:6
15,1Rs 14:1-15:24,At 10:1-23,Sl 133:1-3,Pv 17:7-8
16,1Rs 15:25-17:24,At 10:24-48,Sl 134:1-3,Pv 17:9-11
17,1Rs 18:1-46,At 11:1-30,Sl 135:1-21,Pv 17:12-13
18,1Rs 19:1-21,At 12:1-23,Sl 136:1-26,Pv 17:14-15
19,1Rs 20:1-21:29,At 12:24-13:15,Sl 137:1-9,Pv 17:16
